1,353,Design Snake Game,Medium,"Array,Hash Table,Design,Queue,Simulation"
2,1366,Rank Teams by Votes,Medium,"Array,Hash Table,String,Sorting,Counting"
3,2975,Maximum Square Area by Removing Fences From a Field,Medium,"Array,Hash Table,Enumeration"
4,3000,Maximum Area of Longest Diagonal Rectangle,Easy,Array
5,56,Merge Intervals,Medium,"Array,Sorting"
6,432,All O'one Data Structure,Hard,"Hash Table,Linked List,Design,Doubly-Linked List"
7,2034,Stock Price Fluctuation,Medium,"Hash Table,Design,Heap (Priority Queue),Data Stream,Ordered Set"
8,359,Logger Rate Limiter,Easy,"Hash Table,Design,Data Stream"
9,49,Group Anagrams,Medium,"Array,Hash Table,String,Sorting"
10,229,Majority Element II,Medium,"Array,Hash Table,Sorting,Counting"
11,2933,High-Access Employees,Medium,"Array,Hash Table,String,Sorting"
12,1166,Design File System,Medium,"Hash Table,String,Design,Trie"
13,1048,Longest String Chain,Medium,"Array,Hash Table,Two Pointers,String,Dynamic Programming,Sorting"
14,1307,Verbal Arithmetic Puzzle,Hard,"Array,Math,String,Backtracking"
15,2598,Smallest Missing Non-negative Integer After Operations,Medium,"Array,Hash Table,Math,Greedy"
16,2577,Minimum Time to Visit a Cell In a Grid,Hard,"Array,Breadth-First Search,Graph,Heap (Priority Queue),Matrix,Shortest Path"
17,2959,Number of Possible Sets of Closing Branches,Hard,"Bit Manipulation,Graph,Heap (Priority Queue),Enumeration,Shortest Path"
18,2948,Make Lexicographically Smallest Array by Swapping Elements,Medium,"Array,Union Find,Sorting"
19,2976,Minimum Cost to Convert String I,Medium,"Array,String,Graph,Shortest Path"
20,2977,Minimum Cost to Convert String II,Hard,"Array,String,Dynamic Programming,Graph,Trie,Shortest Path"
21,3026,Maximum Good Subarray Sum,Medium,"Array,Hash Table,Prefix Sum"
22,741,Cherry Pickup,Hard,"Array,Dynamic Programming,Matrix"
23,757,Set Intersection Size At Least Two,Hard,"Array,Greedy,Sorting"
24,300,Longest Increasing Subsequence,Medium,"Array,Binary Search,Dynamic Programming"
25,2851,String Transformation,Hard,"Math,String,Dynamic Programming,String Matching"
26,12,Integer to Roman,Medium,"Hash Table,Math,String"
27,692,Top K Frequent Words,Medium,"Hash Table,String,Trie,Sorting,Heap (Priority Queue),Bucket Sort,Counting"
28,735,Asteroid Collision,Medium,"Array,Stack,Simulation"
29,911,Online Election,Medium,"Array,Hash Table,Binary Search,Design"
30,63,Unique Paths II,Medium,"Array,Dynamic Programming,Matrix"
31,227,Basic Calculator II,Medium,"Math,String,Stack"
32,348,Design Tic-Tac-Toe,Medium,"Array,Hash Table,Design,Matrix,Simulation"
33,730,Count Different Palindromic Subsequences,Hard,"String,Dynamic Programming"
34,1046,Last Stone Weight,Easy,"Array,Heap (Priority Queue)"
35,1220,Count Vowels Permutation,Hard,Dynamic Programming
36,1297,Maximum Number of Occurrences of a Substring,Medium,"Hash Table,String,Sliding Window"
37,1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,Medium,"Dynamic Programming,Graph,Shortest Path"
38,1598,Crawler Log Folder,Easy,"Array,String,Stack"
39,2484,Count Palindromic Subsequences,Hard,"String,Dynamic Programming"
40,1,Two Sum,Easy,"Array,Hash Table"
41,6,Zigzag Conversion,Medium,String
42,11,Container With Most Water,Medium,"Array,Two Pointers,Greedy"
43,15,35um,Medium,"Array,Two Pointers,Sorting"
44,42,Trapping Rain Water,Hard,"Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack"
45,68,Text Justification,Hard,"Array,String,Simulation"
46,78,Subsets,Medium,"Array,Backtracking,Bit Manipulation"
47,88,Merge Sorted Array,Easy,"Array,Two Pointers,Sorting"
48,121,Best Time to Buy and Sell Stock,Easy,"Array,Dynamic Programming"
49,146,LRU Cache,Medium,"Hash Table,Linked List,Design,Doubly-Linked List"
50,187,Repeated DNA Sequences,Medium,"Hash Table,String,Bit Manipulation,Sliding Window,Rolling Hash,Hash Function"
51,189,Rotate Array,Medium,"Array,Math,Two Pointers"
52,224,Basic Calculator,Hard,"Math,String,Stack,Recursion"
53,233,Number of Digit One,Hard,"Math,Dynamic Programming,Recursion"
54,253,Meeting Rooms II,Medium,"Array,Two Pointers,Greedy,Sorting,Heap (Priority Queue),Prefix Sum"
55,322,Coin Change,Medium,"Array,Dynamic Programming,Breadth-First Search"
56,373,Find K Pairs with Smallest Sums,Medium,"Array,Heap (Priority Queue)"
57,410,Split Array Largest Sum,Hard,"Array,Binary Search,Dynamic Programming,Greedy,Prefix Sum"
58,441,Arranging Coins,Easy,"Math,Binary Search"
59,455,Assign Cookies,Easy,"Array,Two Pointers,Greedy,Sorting"
60,532,K-diff Pairs in an Array,Medium,"Array,Hash Table,Two Pointers,Binary Search,Sorting"
61,703,Kth Largest Element in a Stream,Easy,"Tree,Design,Binary Search Tree,Heap (Priority Queue),Binary Tree,Data Stream"
62,860,Lemonade Change,Easy,"Array,Greedy"
63,881,Boats to Save People,Medium,"Array,Two Pointers,Greedy,Sorting"
64,1383,Maximum Performance of a Team,Hard,"Array,Greedy,Sorting,Heap (Priority Queue)"
65,2065,Maximum Path Quality of a Graph,Hard,"Array,Backtracking,Graph"
66,2235,Add Two Integers,Easy,Math
