1,31,Next Permutation,Medium,"Array,Two Pointers"
2,20,Valid Parentheses,Easy,"String,Stack"
3,189,Rotate Array,Medium,"Array,Math,Two Pointers"
4,2612,Minimum Reverse Operations,Hard,"Array,Breadth-First Search,Ordered Set"
5,1,Two Sum,Easy,"Array,Hash Table"
6,5,Longest Palindromic Substring,Medium,"Two Pointers,String,Dynamic Programming"
7,9,Palindrome Number,Easy,Math
8,40,Combination Sum II,Medium,"Array,Backtracking"
9,49,Group Anagrams,Medium,"Array,Hash Table,String,Sorting"
10,53,Maximum Subarray,Medium,"Array,Divide and Conquer,Dynamic Programming"
11,70,Climbing Stairs,Easy,"Math,Dynamic Programming,Memoization"
12,72,Edit Distance,Medium,"String,Dynamic Programming"
13,198,House Robber,Medium,"Array,Dynamic Programming"
14,215,Kth Largest Element in an Array,Medium,"Array,Divide and Conquer,Sorting,Heap (Priority Queue),Quickselect"
15,344,Reverse String,Easy,"Two Pointers,String"
16,853,Car Fleet,Medium,"Array,Stack,Sorting,Monotonic Stack"
17,509,Fibonacci Number,Easy,"Math,Dynamic Programming,Recursion,Memoization"
18,1124,Longest Well-Performing Interval,Medium,"Array,Hash Table,Stack,Monotonic Stack,Prefix Sum"
19,1255,Maximum Score Words Formed by Letters,Hard,"Array,String,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask"
20,1540,Can Convert String in K Moves,Medium,"Hash Table,String"
21,1661,Average Time of Process per Machine,Easy,Database
22,1798,Maximum Number of Consecutive Values You Can Make,Medium,"Array,Greedy,Sorting"
23,1872,Stone Game VIII,Hard,"Array,Math,Dynamic Programming,Prefix Sum,Game Theory"
24,1946,Largest Number After Mutating Substring,Medium,"Array,String,Greedy"
25,2233,Maximum Product After K Increments,Medium,"Array,Greedy,Heap (Priority Queue)"
26,2338,Count the Number of Ideal Arrays,Hard,"Math,Dynamic Programming,Combinatorics,Number Theory"
27,2382,Maximum Segment Sum After Removals,Hard,"Array,Union Find,Prefix Sum,Ordered Set"
28,2418,Sort the People,Easy,"Array,Hash Table,String,Sorting"
29,2457,Minimum Addition to Make Integer Beautiful,Medium,"Math,Greedy"
30,2463,Minimum Total Distance Traveled,Hard,"Array,Dynamic Programming,Sorting"
31,2445,Number of Nodes With Value One,Medium,"Tree,Depth-First Search,Breadth-First Search,Binary Tree"
32,2597,The Number of Beautiful Subsets,Medium,"Array,Hash Table,Math,Dynamic Programming,Backtracking,Sorting,Combinatorics"
33,2829,Determine the Minimum Sum of a k-avoiding Array,Medium,"Math,Greedy"
34,2827,Number of Beautiful Integers in the Range,Hard,"Math,Dynamic Programming"
35,2834,Find the Minimum Possible Sum of a Beautiful Array,Medium,"Math,Greedy"
36,2940,Find Building Where Alice and Bob Can Meet,Hard,"Array,Binary Search,Stack,Binary Indexed Tree,Segment Tree,Heap (Priority Queue),Monotonic Stack"
37,3165,Maximum Sum of Subsequence With Non-adjacent Elements,Hard,"Array,Divide and Conquer,Dynamic Programming,Segment Tree"
