1,121,Best Time to Buy and Sell Stock,Easy,"Array,Dynamic Programming"
2,1217,Minimum Cost to Move Chips to The Same Position,Easy,"Array,Math,Greedy"
3,3,Longest Substring Without Repeating Characters,Medium,"Hash Table,String,Sliding Window"
4,696,Count Binary Substrings,Easy,"Two Pointers,String"
5,1626,Best Team With No Conflicts,Medium,"Array,Dynamic Programming,Sorting"
6,1964,Find the Longest Valid Obstacle Course at Each Position,Hard,"Array,Binary Search,Binary Indexed Tree"
7,2152,Minimum Number of Lines to Cover Points,Medium,"Array,Hash Table,Math,Dynamic Programming,Backtracking,Bit Manipulation,Geometry,Bitmask"
8,2395,Find Subarrays With Equal Sum,Easy,"Array,Hash Table"
9,2432,The Employee That Worked on the Longest Task,Easy,Array
10,2433,Find The Original Array of Prefix Xor,Medium,"Array,Bit Manipulation"
11,1,Two Sum,Easy,"Array,Hash Table"
12,56,Merge Intervals,Medium,"Array,Sorting"
13,20,Valid Parentheses,Easy,"String,Stack"
14,871,Minimum Number of Refueling Stops,Hard,"Array,Dynamic Programming,Greedy,Heap (Priority Queue)"
15,5,Longest Palindromic Substring,Medium,"Two Pointers,String,Dynamic Programming"
16,41,First Missing Positive,Hard,"Array,Hash Table"
17,53,Maximum Subarray,Medium,"Array,Divide and Conquer,Dynamic Programming"
18,55,Jump Game,Medium,"Array,Dynamic Programming,Greedy"
19,146,LRU Cache,Medium,"Hash Table,Linked List,Design,Doubly-Linked List"
20,390,Elimination Game,Medium,"Math,Recursion"
21,7,Reverse Integer,Medium,Math
22,17,Letter Combinations of a Phone Number,Medium,"Hash Table,String,Backtracking"
23,31,Next Permutation,Medium,"Array,Two Pointers"
24,61,Rotate List,Medium,"Linked List,Two Pointers"
25,69,Sqrt(x),Easy,"Math,Binary Search"
26,91,Decode Ways,Medium,"String,Dynamic Programming"
27,122,Best Time to Buy and Sell Stock II,Medium,"Array,Dynamic Programming,Greedy"
28,134,Gas Station,Medium,"Array,Greedy"
29,138,Copy List with Random Pointer,Medium,"Hash Table,Linked List"
30,142,Linked List Cycle II,Medium,"Hash Table,Linked List,Two Pointers"
31,151,Reverse Words in a String,Medium,"Two Pointers,String"
32,184,Department Highest Salary,Medium,Database
33,198,House Robber,Medium,"Array,Dynamic Programming"
34,236,Lowest Common Ancestor of a Binary Tree,Medium,"Tree,Depth-First Search,Binary Tree"
35,344,Reverse String,Easy,"Two Pointers,String"
36,387,First Unique Character in a String,Easy,"Hash Table,String,Queue,Counting"
37,564,Find the Closest Palindrome,Hard,"Math,String"
38,572,Subtree of Another Tree,Easy,"Tree,Depth-First Search,String Matching,Binary Tree,Hash Function"
39,780,Reaching Points,Hard,Math
40,1254,Number of Closed Islands,Medium,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix"
41,2289,Steps to Make Array Non-decreasing,Medium,"Array,Linked List,Stack,Monotonic Stack"
