1,1,Two Sum,Easy,"Array,Hash Table"
2,169,Majority Element,Easy,"Array,Hash Table,Divide and Conquer,Sorting,Counting"
3,560,Subarray Sum Equals K,Medium,"Array,Hash Table,Prefix Sum"
4,898,Bitwise ORs of Subarrays,Medium,"Array,Dynamic Programming,Bit Manipulation"
5,62,Unique Paths,Medium,"Math,Dynamic Programming,Combinatorics"
6,75,Sort Colors,Medium,"Array,Two Pointers,Sorting"
7,5,Longest Palindromic Substring,Medium,"Two Pointers,String,Dynamic Programming"
8,53,Maximum Subarray,Medium,"Array,Divide and Conquer,Dynamic Programming"
9,15,3Sum,Medium,"Array,Two Pointers,Sorting"
10,20,Valid Parentheses,Easy,"String,Stack"
11,121,Best Time to Buy and Sell Stock,Easy,"Array,Dynamic Programming"
12,151,Reverse Words in a String,Medium,"Two Pointers,String"
13,189,Rotate Array,Medium,"Array,Math,Two Pointers"
14,206,Reverse Linked List,Easy,"Linked List,Recursion"
15,239,Sliding Window Maximum,Hard,"Array,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue"
16,242,Valid Anagram,Easy,"Hash Table,String,Sorting"
17,1137,N-th Tribonacci Number,Easy,"Math,Dynamic Programming,Memoization"
18,9,Palindrome Number,Easy,Math
19,13,Roman to Integer,Easy,"Hash Table,Math,String"
20,14,Longest Common Prefix,Easy,"String,Trie"
21,63,Unique Paths II,Medium,"Array,Dynamic Programming,Matrix"
22,79,Word Search,Medium,"Array,String,Backtracking,Matrix"
23,80,Remove Duplicates from Sorted Array II,Medium,"Array,Two Pointers"
24,118,Pascal's Triangle,Easy,"Array,Dynamic Programming"
25,128,Longest Consecutive Sequence,Medium,"Array,Hash Table,Union Find"
26,136,Single Number,Easy,"Array,Bit Manipulation"
27,176,Second Highest Salary,Medium,Database
28,185,Department Top Three Salaries,Hard,Database
29,196,Delete Duplicate Emails,Easy,Database
30,202,Happy Number,Easy,"Hash Table,Math,Two Pointers"
31,268,Missing Number,Easy,"Array,Hash Table,Math,Binary Search,Bit Manipulation,Sorting"
32,283,Move Zeroes,Easy,"Array,Two Pointers"
33,349,Intersection of Two Arrays,Easy,"Array,Hash Table,Two Pointers,Binary Search,Sorting"
34,451,Sort Characters By Frequency,Medium,"Hash Table,String,Sorting,Heap (Priority Queue),Bucket Sort,Counting"
35,540,Single Element in a Sorted Array,Medium,"Array,Binary Search"
36,1148,Article Views I,Easy,Database
37,1514,Path with Maximum Probability,Medium,"Array,Graph,Heap (Priority Queue),Shortest Path"
38,1636,Sort Array by Increasing Frequency,Easy,"Array,Hash Table,Sorting"
39,1748,Sum of Unique Elements,Easy,"Array,Hash Table,Counting"
40,1745,Palindrome Partitioning IV,Hard,"String,Dynamic Programming"
41,1752,Check if Array Is Sorted and Rotated,Easy,Array
42,1800,Maximum Ascending Subarray Sum,Easy,Array
43,2423,Remove Letter To Equalize Frequency,Easy,"Hash Table,String,Counting"
44,2481,Minimum Cuts to Divide a Circle,Easy,"Math,Geometry"
45,2520,Count the Digits That Divide a Number,Easy,Math
46,3065,Minimum Operations to Exceed Threshold Value I,Easy,Array
47,3066,Minimum Operations to Exceed Threshold Value II,Medium,"Array,Heap (Priority Queue),Simulation"
48,3190,Find Minimum Operations to Make All Elements Divisible by Three,Easy,"Array,Math"
