1,3,Longest Substring Without Repeating Characters,Medium,"Hash Table,String,Sliding Window"
2,14,Longest Common Prefix,Easy,"String,Trie"
3,682,Baseball Game,Easy,"Array,Stack,Simulation"
4,20,Valid Parentheses,Easy,"String,Stack"
5,53,Maximum Subarray,Medium,"Array,Divide and Conquer,Dynamic Programming"
6,180,Consecutive Numbers,Medium,Database
7,468,Validate IP Address,Medium,String
8,609,Find Duplicate File in System,Medium,"Array,Hash Table,String"
9,983,Minimum Cost For Tickets,Medium,"Array,Dynamic Programming"
10,1,Two Sum,Easy,"Array,Hash Table"
11,997,Find the Town Judge,Easy,"Array,Hash Table,Graph"
12,70,Climbing Stairs,Easy,"Math,Dynamic Programming,Memoization"
13,128,Longest Consecutive Sequence,Medium,"Array,Hash Table,Union Find"
14,200,Number of Islands,Medium,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix"
15,404,Sum of Left Leaves,Easy,"Tree,Depth-First Search,Breadth-First Search,Binary Tree"
16,78,Subsets,Medium,"Array,Backtracking,Bit Manipulation"
17,104,Maximum Depth of Binary Tree,Easy,"Tree,Depth-First Search,Breadth-First Search,Binary Tree"
18,389,Find the Difference,Easy,"Hash Table,String,Bit Manipulation,Sorting"
19,1456,Maximum Number of Vowels in a Substring of Given Length,Medium,"String,Sliding Window"
20,10,Regular Expression Matching,Hard,"String,Dynamic Programming,Recursion"
21,22,Generate Parentheses,Medium,"String,Dynamic Programming,Backtracking"
22,56,Merge Intervals,Medium,"Array,Sorting"
23,189,Rotate Array,Medium,"Array,Math,Two Pointers"
24,198,House Robber,Medium,"Array,Dynamic Programming"
25,424,Longest Repeating Character Replacement,Medium,"Hash Table,String,Sliding Window"
26,678,Valid Parenthesis String,Medium,"String,Dynamic Programming,Stack,Greedy"
27,697,Degree of an Array,Easy,"Array,Hash Table"
