1,212,Word Search II
2,815,Bus Routes
3,2493,Divide Nodes Into the Maximum Number of Groups
4,2468,Split Message Based on Limit
5,269,Alien Dictionary
6,564,Find the Closest Palindrome
7,1428,Leftmost Column with at Least a One
8,68,Text Justification
9,146,LRU Cache
10,162,Find Peak Element
11,230,Kth Smallest Element in a BST
12,238,Product of Array Except Self
13,362,Design Hit Counter
14,380,Insert Delete GetRandom O(1)
15,410,Split Array Largest Sum
16,424,Longest Repeating Character Replacement
17,692,Top K Frequent Words
18,427,Construct Quad Tree
19,875,Koko Eating Bananas
20,528,Random Pick with Weight
21,977,Squares of a Sorted Array
22,1673,Find the Most Competitive Subsequence
23,2444,Count Subarrays With Fixed Bounds
24,2508,Add Edges to Make Degrees of All Nodes Even
25,3071,Minimum Operations to Write the Letter Y on a Grid
26,384,Shuffle an Array
27,17,Letter Combinations of a Phone Number
28,13,Roman to Integer
29,23,Merge k Sorted Lists
30,33,Search in Rotated Sorted Array
31,49,Group Anagrams
32,91,Decode Ways
33,125,Valid Palindrome
34,171,Excel Sheet Column Number
35,200,Number of Islands
36,207,Course Schedule
37,242,Valid Anagram
38,286,Walls and Gates
39,297,Serialize and Deserialize Binary Tree
40,347,Top K Frequent Elements
41,432,All O'one Data Structure
42,934,Shortest Bridge
43,986,Interval List Intersections
44,2537,Count the Number of Good Subarrays
45,3043,Find the Length of the Longest Common Prefix
46,1,Two Sum
47,8,String to Integer (atoi)
48,10,Regular Expression Matching
49,22,Generate Parentheses
50,24,Swap Nodes in Pairs
51,36,Valid Sudoku
52,37,Sudoku Solver
53,39,Combination Sum
54,54,Spiral Matrix
