1,1328,Break a Palindrome,Medium,"String,Greedy"
2,2217,Find Palindrome With Fixed Length,Medium,"Array,Math"
3,2263,Make Array Non-decreasing or Non-increasing,Hard,"Dynamic Programming,Greedy"
4,4,Median of Two Sorted Arrays,Hard,"Array,Binary Search,Divide and Conquer"
5,1,Two Sum,Easy,"Array,Hash Table"
6,121,Best Time to Buy and Sell Stock,Easy,"Array,Dynamic Programming"
7,146,LRU Cache,Medium,"Hash Table,Linked List,Design,Doubly-Linked List"
8,31,Next Permutation,Medium,"Array,Two Pointers"
9,33,Search in Rotated Sorted Array,Medium,"Array,Binary Search"
10,75,Sort Colors,Medium,"Array,Two Pointers,Sorting"
11,207,Course Schedule,Medium,"Depth-First Search,Breadth-First Search,Graph,Topological Sort"
12,981,Time Based Key-Value Store,Medium,"Hash Table,String,Binary Search,Design"
13,3,Longest Substring Without Repeating Characters,Medium,"Hash Table,String,Sliding Window"
14,14,Longest Common Prefix,Easy,"String,Trie"
15,21,Merge Two Sorted Lists,Easy,"Linked List,Recursion"
16,25,Reverse Nodes in k-Group,Hard,"Linked List,Recursion"
17,43,Multiply Strings,Medium,"Math,String,Simulation"
18,70,Climbing Stairs,Easy,"Math,Dynamic Programming,Memoization"
19,98,Validate Binary Search Tree,Medium,"Tree,Depth-First Search,Binary Search Tree,Binary Tree"
20,105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,"Array,Hash Table,Divide and Conquer,Tree,Binary Tree"
21,160,Intersection of Two Linked Lists,Easy,"Hash Table,Linked List,Two Pointers"
22,200,Number of Islands,Medium,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix"
23,362,Design Hit Counter,Medium,"Array,Binary Search,Design,Queue,Data Stream"
24,829,Consecutive Numbers Sum,Hard,"Math,Enumeration"
