1,54,Spiral Matrix,Medium,"Array,Matrix,Simulation"
2,5,Longest Palindromic Substring,Medium,"Two Pointers,String,Dynamic Programming"
3,70,Climbing Stairs,Easy,"Math,Dynamic Programming,Memoization"
4,121,Best Time to Buy and Sell Stock,Easy,"Array,Dynamic Programming"
5,20,Valid Parentheses,Easy,"String,Stack"
6,3,Longest Substring Without Repeating Characters,Medium,"Hash Table,String,Sliding Window"
7,6,Zigzag Conversion,Medium,String
8,212,Word Search II,Hard,"Array,String,Backtracking,Trie,Matrix"
9,394,Decode String,Medium,"String,Stack,Recursion"
10,1275,Find Winner on a Tic Tac Toe Game,Easy,"Array,Hash Table,Matrix,Simulation"
11,2164,Sort Even and Odd Indices Independently,Easy,"Array,Sorting"
12,2221,Find Triangular Sum of an Array,Medium,"Array,Math,Simulation,Combinatorics"
13,16,3Sum Closest,Medium,"Array,Two Pointers,Sorting"
14,37,Sudoku Solver,Hard,"Array,Hash Table,Backtracking,Matrix"
15,38,Count and Say,Medium,String
16,44,Wildcard Matching,Hard,"String,Dynamic Programming,Greedy,Recursion"
17,56,Merge Intervals,Medium,"Array,Sorting"
18,84,Largest Rectangle in Histogram,Hard,"Array,Stack,Monotonic Stack"
19,200,Number of Islands,Medium,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix"
20,227,Basic Calculator II,Medium,"Math,String,Stack"
21,416,Partition Equal Subset Sum,Medium,"Array,Dynamic Programming"
22,435,Non-overlapping Intervals,Medium,"Array,Dynamic Programming,Greedy,Sorting"
23,498,Diagonal Traverse,Medium,"Array,Matrix,Simulation"
24,735,Asteroid Collision,Medium,"Array,Stack,Simulation"
25,829,Consecutive Numbers Sum,Hard,"Math,Enumeration"
26,1854,Maximum Population Year,Easy,"Array,Counting,Prefix Sum"
27,1910,Remove All Occurrences of a Substring,Medium,String
28,165,Compare Version Numbers,Medium,"Two Pointers,String"
29,22,Generate Parentheses,Medium,"String,Dynamic Programming,Backtracking"
30,93,Restore IP Addresses,Medium,"String,Backtracking"
31,989,Add to Array-Form of Integer,Easy,"Array,Math"
32,1,Two Sum,Easy,"Array,Hash Table"
33,14,Longest Common Prefix,Easy,"String,Trie"
34,42,Trapping Rain Water,Hard,"Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack"
35,68,Text Justification,Hard,"Array,String,Simulation"
36,171,Excel Sheet Column Number,Easy,"Math,String"
37,4,Median of Two Sorted Arrays,Hard,"Array,Binary Search,Divide and Conquer"
38,10,Regular Expression Matching,Hard,"String,Dynamic Programming,Recursion"
39,32,Longest Valid Parentheses,Hard,"String,Dynamic Programming,Stack"
40,33,Search in Rotated Sorted Array,Medium,"Array,Binary Search"
41,49,Group Anagrams,Medium,"Array,Hash Table,String,Sorting"
42,53,Maximum Subarray,Medium,"Array,Divide and Conquer,Dynamic Programming"
43,59,Spiral Matrix II,Medium,"Array,Matrix,Simulation"
44,72,Edit Distance,Medium,"String,Dynamic Programming"
45,75,Sort Colors,Medium,"Array,Two Pointers,Sorting"
46,91,Decode Ways,Medium,"String,Dynamic Programming"
47,234,Palindrome Linked List,Easy,"Linked List,Two Pointers,Stack,Recursion"
48,238,Product of Array Except Self,Medium,"Array,Prefix Sum"
49,273,Integer to English Words,Hard,"Math,String,Recursion"
50,287,Find the Duplicate Number,Medium,"Array,Two Pointers,Binary Search,Bit Manipulation"
51,539,Minimum Time Difference,Medium,"Array,Math,String,Sorting"
52,1047,Remove All Adjacent Duplicates In String,Easy,"String,Stack"
53,1386,Cinema Seat Allocation,Medium,"Array,Hash Table,Greedy,Bit Manipulation"
